"","p_CA.1","p_CNA.1","p_NCA.1","p_NCNA.1","p_CA.2","p_CNA.2","p_NCA.2","p_NCNA.2","p_CA.3","p_CNA.3","p_NCA.3","p_NCNA.3","p_CA.4","p_CNA.4","p_NCA.4","p_NCNA.4"
"A implies C",0.455666666666667,0.158333333333333,0.00766666666666667,0.378,0.301333333333333,0.0403333333333333,0.005,0.653333333333333,0,0,0,0,0.00966666666666667,0.854333333333333,0.0976666666666667,0.038
"A implies -C",0.487333333333333,0.200333333333333,0.0486666666666667,0.263333333333333,0.352333333333333,0.019,0.035,0.594,0,0,0,0,0.002,0.853666666666667,0.0976666666666667,0.047
"-A implies C",0.425333333333333,0.505,0.0126666666666667,0.0566666666666667,0.279,0.575333333333333,0.011,0.134333333333333,0,0,0,0,0.00266666666666667,0.871333333333333,0.107,0.0186666666666667
"-A implies -C",0.489,0.0143333333333333,0.0106666666666667,0.486,0.313333333333333,0.0156666666666667,0.007,0.664333333333333,0,0,0,0,0.00833333333333333,0.116,0.321,0.554666666666667
"C implies A",0.564666666666667,0.0173333333333333,0.013,0.404666666666667,0.347333333333333,0.00833333333333333,0.00766666666666667,0.636333333333333,0,0,0,0,0.035,0.00333333333333333,0.650666666666667,0.311
"C implies -A",0.100666666666667,0.591333333333333,0.00266666666666667,0.305666666666667,0.0333333333333333,0.234666666666667,0.000666666666666667,0.731333333333333,0,0,0,0,0.002,0.855666666666667,0.0956666666666667,0.0466666666666667
"-C implies A",0.578666666666667,0.394333333333333,0.025,0.00133333333333333,0.889333333333333,0.008,0.0873333333333333,0.0156666666666667,0,0,0,0,0.00366666666666667,0.846333333333333,0.146333333333333,0.00366666666666667
"-C implies -A",0.416333333333333,0.154666666666667,0.005,0.424,0.290333333333333,0.0406666666666667,0.005,0.664,0,0,0,0,0,0.862666666666667,0.00733333333333333,0.13
"A ind. C",0.44,0.527666666666667,0.0173333333333333,0.0153333333333333,0.780333333333333,0.196,0.017,0.00633333333333333,0.484,0.485666666666667,0.017,0.0126666666666667,0.0203333333333333,0.0423333333333333,0.414666666666667,0.522333333333333
