"","p_CA.1","p_CNA.1","p_NCA.1","p_NCNA.1","p_CA.2","p_CNA.2","p_NCA.2","p_NCNA.2","p_CA.3","p_CNA.3","p_NCA.3","p_NCNA.3","p_CA.4","p_CNA.4","p_NCA.4","p_NCNA.4"
"A implies C",0.489,0.248333333333333,0.007,0.255,0.484,0.055,0.00766666666666667,0.453666666666667,0,0,0,0,0.018,0.706666666666667,0.181,0.0946666666666667
"A implies -C",0.463,0.247666666666667,0.046,0.244,0.469333333333333,0.0493333333333333,0.0463333333333333,0.435,0,0,0,0,0.003,0.697333333333333,0.200333333333333,0.099
"-A implies C",0.494,0.483333333333333,0.01,0.0126666666666667,0.494,0.483333333333333,0.01,0.0126666666666667,0,0,0,0,0.00366666666666667,0.831666666666667,0.146666666666667,0.0183333333333333
"-A implies -C",0.475666666666667,0.0133333333333333,0.00966666666666667,0.501333333333333,0.475666666666667,0.0123333333333333,0.00966666666666667,0.501666666666667,0,0,0,0,0.0106666666666667,0.0126666666666667,0.493,0.484
"C implies A",0.714666666666667,0.0186666666666667,0.0146666666666667,0.252333333333333,0.633,0.008,0.0133333333333333,0.346333333333333,0,0,0,0,0.026,0.001,0.731,0.242
"C implies -A",0.0373333333333333,0.696,0.001,0.266,0.015,0.275333333333333,0,0.708666666666667,0,0,0,0,0.002,0.778333333333333,0.138,0.0813333333333333
"-C implies A",0.723333333333333,0.251333333333333,0.0243333333333333,0.001,0.859666666666667,0.102333333333333,0.0356666666666667,0.002,0,0,0,0,0.00666666666666667,0.689666666666667,0.296,0.00766666666666667
"-C implies -A",0.360666666666667,0.245666666666667,0.003,0.391333333333333,0.378333333333333,0.0556666666666667,0.00333333333333333,0.562666666666667,0,0,0,0,0,0.713666666666667,0.0153333333333333,0.270666666666667
"A ind. C",0.503333333333333,0.477333333333333,0.01,0.00933333333333333,0.503333333333333,0.477333333333333,0.01,0.00933333333333333,0.503333333333333,0.477333333333333,0.01,0.00933333333333333,0.013,0.00966666666666667,0.538,0.439666666666667
